model,pooling_strategy,condition,mean_cosine_similarity_top_10,mean_projection_top_10,category_retention_at_10,unique_candidates
bielik_1_5b_v3,mean,emotion,0.8164640925327937,0.07499173481754648,1.0,175
bielik_1_5b_v3,mean,identity,0.886094799041748,0.023088706555233027,1.0,148
bielik_1_5b_v3,mean,random,0.6280214475591978,0.025632415670358264,1.0,216
bielik_1_5b_v3,mean,shuffled_emotion,0.8164640925327937,0.07362714560353197,1.0,175
gemini,,emotion,0.522103496491909,0.06952415133807031,1.0,280
gemini,,identity,0.6646091163158416,0.023186327695536118,1.0,150
gemini,,random,0.47002967392404876,0.024117908394740272,1.0,212
gemini,,shuffled_emotion,0.522103496491909,0.04194208661521164,1.0,280
mmlw_roberta_large,,emotion,0.9124765861034393,0.021113255374560443,1.0,186
mmlw_roberta_large,,identity,0.958351811170578,0.008592636546236463,1.0,148
mmlw_roberta_large,,random,0.6789069361488025,0.009171968021934542,1.0,200
mmlw_roberta_large,,shuffled_emotion,0.9124765861034393,0.01732363690796774,1.0,186
qwen3_embedding_8b,,emotion,0.5062945365409056,0.07376559201278723,1.0,241
qwen3_embedding_8b,,identity,0.6990417154630025,0.03021986913634464,1.0,148
qwen3_embedding_8b,,random,0.4943317692975203,0.030638583428614464,1.0,179
qwen3_embedding_8b,,shuffled_emotion,0.5062945365409056,0.05383796246683536,1.0,241
