model,language,category,emotion,emotion_strategy,neutral_strategy,projection_emotion,projection_identity,projection_random,projection_shuffled_emotion,delta_emotion_minus_identity,delta_emotion_minus_random,delta_emotion_minus_shuffled
bielik_1_5b_v3,en,food,anger,centroid_phrases,neutral_centroid,0.03152397060766812,0.00964207462966441,0.01560277072712776,0.0333046561107039,0.02188189597800371,0.015921199880540363,-0.0017806855030357768
bielik_1_5b_v3,en,food,disgust,centroid_phrases,neutral_centroid,0.03498175460845228,0.009556601522490379,0.02108450634405014,0.035498210787773085,0.0254251530859619,0.01389724826440214,-0.0005164561793208067
bielik_1_5b_v3,en,food,joy,centroid_phrases,neutral_centroid,0.04655105136334891,0.016588531620800477,0.03396061295643445,0.042479032836854405,0.029962519742548432,0.012590438406914463,0.004072018526494504
bielik_1_5b_v3,en,food,sadness,centroid_phrases,neutral_centroid,0.04027973785996434,0.014124665316194298,0.02052851822227238,0.03674152698367831,0.02615507254377004,0.01975121963769196,0.00353821087628603
bielik_1_5b_v3,en,object,anger,centroid_phrases,neutral_centroid,0.056318178772926275,0.019325610576197482,0.03055225978605447,0.06055112741887565,0.03699256819672879,0.025765918986871805,-0.004232948645949378
bielik_1_5b_v3,en,object,disgust,centroid_phrases,neutral_centroid,0.05442755259573454,0.01164715210907161,0.025871054502204026,0.05442755259573454,0.04278040048666293,0.028556498093530516,0.0
bielik_1_5b_v3,en,object,joy,centroid_phrases,neutral_centroid,0.06747042611241336,0.01592728472314775,0.03132194513455032,0.060281440429389446,0.051543141389265607,0.03614848097786304,0.00718898568302391
bielik_1_5b_v3,en,object,sadness,centroid_phrases,neutral_centroid,0.06278549619019028,0.01560625806450842,0.01857972731813787,0.06278549619019028,0.04717923812568185,0.04420576887205241,0.0
bielik_1_5b_v3,en,person,anger,centroid_phrases,neutral_centroid,0.0758023355156183,0.01576181128621102,0.02441682368516921,0.07271274887025353,0.060040524229407276,0.051385511830449086,0.003089586645364767
bielik_1_5b_v3,en,person,disgust,centroid_phrases,neutral_centroid,0.07424879483878608,0.01422713156789541,0.01110899373888969,0.07424879483878608,0.06002166327089067,0.06313980109989639,0.0
bielik_1_5b_v3,en,person,joy,centroid_phrases,neutral_centroid,0.08610620573163029,0.02401597313582897,0.02925879126414655,0.08892515338957305,0.06209023259580132,0.05684741446748374,-0.002818947657942758
bielik_1_5b_v3,en,person,sadness,centroid_phrases,neutral_centroid,0.0780160747468471,0.02034554127603769,0.030282234400510775,0.0780160747468471,0.057670533470809415,0.04773384034633633,0.0
bielik_1_5b_v3,en,place,anger,centroid_phrases,neutral_centroid,0.06537923011928794,0.03803233588114377,0.0512035289779305,0.06756618488579984,0.027346894238144168,0.014175701141357439,-0.0021869547665119005
bielik_1_5b_v3,en,place,disgust,centroid_phrases,neutral_centroid,0.06510127056390043,0.037228443194180685,0.045067437458783347,0.06697351131588217,0.027872827369719744,0.020033833105117083,-0.001872240751981738
bielik_1_5b_v3,en,place,joy,centroid_phrases,neutral_centroid,0.07650764174759382,0.04419874036684629,0.04612907068803903,0.07272574044764037,0.03230890138074753,0.03037857105955479,0.003781901299953455
bielik_1_5b_v3,en,place,sadness,centroid_phrases,neutral_centroid,0.06876979563385244,0.039484463445842236,0.04167919661849733,0.06569391582161184,0.029285332188010202,0.027090599015355106,0.003075879812240598
bielik_1_5b_v3,en,situation,anger,centroid_phrases,neutral_centroid,0.06387649560347196,0.02374277939088641,0.01803488153964278,0.06515017524361608,0.040133716212585546,0.04584161406382918,-0.001273679640144118
bielik_1_5b_v3,en,situation,disgust,centroid_phrases,neutral_centroid,0.07162663820199663,0.025543742580339292,0.015333715965971339,0.0677052933722734,0.04608289562165734,0.05629292223602529,0.003921344829723228
