model,language,category,emotion,condition,mean_cosine_similarity_top_10,mean_projection_top_10,category_retention_at_10,unique_candidates
arctic_embed_l_v2,en,food,amusement,emotion,0.4944088220596313,0.14587729098275298,0.0,10
arctic_embed_l_v2,en,food,amusement,identity,0.6134310185909271,0.029537077201530308,0.0,10
arctic_embed_l_v2,en,food,amusement,random,0.4381954699754715,0.027040726412087664,0.0,10
arctic_embed_l_v2,en,food,amusement,shuffled_emotion,0.49904259741306306,0.14587729098275298,0.0,10
arctic_embed_l_v2,en,food,anger,emotion,0.4425766319036484,0.14464710969477887,0.0,10
arctic_embed_l_v2,en,food,anger,identity,0.6134310185909271,-0.008572133630514131,0.0,10
arctic_embed_l_v2,en,food,anger,random,0.4333572417497635,-0.01596538349986076,0.0,10
arctic_embed_l_v2,en,food,anger,shuffled_emotion,0.45458864569664004,0.16177594084292646,0.0,10
arctic_embed_l_v2,en,food,disgust,emotion,0.4277864098548889,0.15569116938859223,0.0,10
arctic_embed_l_v2,en,food,disgust,identity,0.6134310185909271,0.0013490756973624312,0.0,10
arctic_embed_l_v2,en,food,disgust,random,0.45195785760879514,-0.031049492582678785,0.0,10
arctic_embed_l_v2,en,food,disgust,shuffled_emotion,0.48481653034687044,0.11408436764031644,0.0,10
arctic_embed_l_v2,en,food,excitement,emotion,0.49904259741306306,0.15067381546832617,0.0,10
arctic_embed_l_v2,en,food,excitement,identity,0.6134310185909271,0.02570511731319129,0.0,10
arctic_embed_l_v2,en,food,excitement,random,0.4500891983509064,-0.0019970565568655707,0.0,10
arctic_embed_l_v2,en,food,excitement,shuffled_emotion,0.47083935141563416,0.16817378071136768,0.0,10
arctic_embed_l_v2,en,food,fear,emotion,0.45458864569664004,0.1946302614174783,0.0,10
arctic_embed_l_v2,en,food,fear,identity,0.6134310185909271,-0.00904986551031466,0.0,10
arctic_embed_l_v2,en,food,fear,random,0.43099205791950224,-0.049076205212622834,0.0,10
arctic_embed_l_v2,en,food,fear,shuffled_emotion,0.4944088220596313,0.12278638249263167,0.0,10
arctic_embed_l_v2,en,food,joy,emotion,0.48481653034687044,0.1430698113515973,0.0,10
arctic_embed_l_v2,en,food,joy,identity,0.6134310185909271,-0.0039050428196787503,0.0,10
arctic_embed_l_v2,en,food,joy,random,0.44333581924438475,-0.04640786293894048,0.0,10
arctic_embed_l_v2,en,food,joy,shuffled_emotion,0.4425766319036484,0.1310142761096358,0.0,10
arctic_embed_l_v2,en,food,love,emotion,0.47083935141563416,0.19150506146252153,0.0,10
arctic_embed_l_v2,en,food,love,identity,0.6134310185909271,-0.01354998601600527,0.0,10
arctic_embed_l_v2,en,food,love,random,0.45697824358940126,-0.04015679107978939,0.0,10
arctic_embed_l_v2,en,food,love,shuffled_emotion,0.4833902776241302,0.15254159625619648,0.0,10
arctic_embed_l_v2,en,food,negative,emotion,0.4630000561475754,0.157023798674345,0.0,10
arctic_embed_l_v2,en,food,negative,identity,0.6134310185909271,-0.012463439442217328,0.0,10
arctic_embed_l_v2,en,food,negative,random,0.447317960858345,-0.028033918514847746,0.0,10
arctic_embed_l_v2,en,food,negative,shuffled_emotion,0.44773984253406524,0.17472886629402634,0.0,10
arctic_embed_l_v2,en,food,positive,emotion,0.4833902776241302,0.1448304958641529,0.0,10
arctic_embed_l_v2,en,food,positive,identity,0.6134310185909271,-0.01156527325510975,0.0,10
arctic_embed_l_v2,en,food,positive,random,0.4400398850440979,-0.03345544412732121,0.0,10
arctic_embed_l_v2,en,food,positive,shuffled_emotion,0.4630000561475754,0.1456110633909702,0.0,10
arctic_embed_l_v2,en,food,sadness,emotion,0.44773984253406524,0.17329157032072542,0.0,10
arctic_embed_l_v2,en,food,sadness,identity,0.6134310185909271,-0.01268014525994654,0.0,10
arctic_embed_l_v2,en,food,sadness,random,0.43139010667800903,-0.04763786001130934,0.0,10
arctic_embed_l_v2,en,food,sadness,shuffled_emotion,0.4277864098548889,0.13508024848997593,0.0,10
arctic_embed_l_v2,en,object,amusement,emotion,0.48960802853107455,0.3448074612766504,0.0,10
arctic_embed_l_v2,en,object,amusement,identity,0.6321749150753021,0.059956724662333684,0.0,10
arctic_embed_l_v2,en,object,amusement,random,0.42266830801963806,0.062106987368315415,0.0,10
arctic_embed_l_v2,en,object,amusement,shuffled_emotion,0.5026494473218918,0.3126879516988993,0.0,10
arctic_embed_l_v2,en,object,anger,emotion,0.4374584048986435,0.35171142760664226,0.0,10
arctic_embed_l_v2,en,object,anger,identity,0.6321749150753021,0.06599093396216628,0.0,10
arctic_embed_l_v2,en,object,anger,random,0.43687936663627625,0.04701568824239075,0.0,10
arctic_embed_l_v2,en,object,anger,shuffled_emotion,0.4449475944042206,0.33494856003671886,0.0,10
arctic_embed_l_v2,en,object,disgust,emotion,0.43582782745361326,0.2885680016130209,0.0,10
arctic_embed_l_v2,en,object,disgust,identity,0.6321749150753021,0.0481803350150585,0.0,10
arctic_embed_l_v2,en,object,disgust,random,0.4606058031320572,0.05754053704440591,0.0,10
arctic_embed_l_v2,en,object,disgust,shuffled_emotion,0.46722993850708006,0.23649576716125006,0.0,10
arctic_embed_l_v2,en,object,excitement,emotion,0.5026494473218918,0.36838704757392404,0.0,10
arctic_embed_l_v2,en,object,excitement,identity,0.6321749150753021,0.0867703320458531,0.0,10
arctic_embed_l_v2,en,object,excitement,random,0.45123078525066374,0.08431213442236181,0.0,10
arctic_embed_l_v2,en,object,excitement,shuffled_emotion,0.4536163479089737,0.3412211593240499,0.0,10
arctic_embed_l_v2,en,object,fear,emotion,0.4449475944042206,0.4408313576132059,0.0,10
arctic_embed_l_v2,en,object,fear,identity,0.6321749150753021,0.07246471568942066,0.0,10
arctic_embed_l_v2,en,object,fear,random,0.4621709257364273,0.03133661132305858,0.0,10
arctic_embed_l_v2,en,object,fear,shuffled_emotion,0.48960802853107455,0.2294710118323564,0.0,10
arctic_embed_l_v2,en,object,joy,emotion,0.46722993850708006,0.3541308633983135,0.0,10
arctic_embed_l_v2,en,object,joy,identity,0.6321749150753021,0.06142522869631645,0.0,10
arctic_embed_l_v2,en,object,joy,random,0.4654513120651245,0.04133004080504176,0.0,10
arctic_embed_l_v2,en,object,joy,shuffled_emotion,0.4374584048986435,0.2400580264627933,0.0,10
arctic_embed_l_v2,en,object,love,emotion,0.4536163479089737,0.3987204480916261,0.0,10
arctic_embed_l_v2,en,object,love,identity,0.6321749150753021,0.04389938041567798,0.0,10
arctic_embed_l_v2,en,object,love,random,0.4343833714723587,0.027393085137009582,0.0,10
arctic_embed_l_v2,en,object,love,shuffled_emotion,0.4537047117948532,0.33609700240194795,0.0,10
arctic_embed_l_v2,en,object,negative,emotion,0.4480030655860901,0.36742700971663,0.0,10
arctic_embed_l_v2,en,object,negative,identity,0.6321749150753021,0.08031108342111107,0.0,10
arctic_embed_l_v2,en,object,negative,random,0.4694066375494003,0.08726869542151686,0.0,10
arctic_embed_l_v2,en,object,negative,shuffled_emotion,0.4383994579315186,0.3640315596014261,0.0,10
arctic_embed_l_v2,en,object,positive,emotion,0.4537047117948532,0.3680301841348409,0.0,10
arctic_embed_l_v2,en,object,positive,identity,0.6321749150753021,0.0683001354336738,0.0,10
