model,language,category,emotion,emotion_strategy,neutral_strategy,projection_emotion,projection_identity,projection_random,projection_shuffled_emotion,delta_emotion_minus_identity,delta_emotion_minus_random,delta_emotion_minus_shuffled
arctic_embed_l_v2,en,food,amusement,centroid_phrases,neutral_centroid,0.14587729098275298,0.029537077201530308,0.027040726412087664,0.14587729098275298,0.11634021378122267,0.11883656457066533,0.0
arctic_embed_l_v2,en,food,anger,centroid_phrases,neutral_centroid,0.14464710969477887,-0.008572133630514131,-0.01596538349986076,0.16177594084292646,0.153219243325293,0.16061249319463963,-0.01712883114814759
arctic_embed_l_v2,en,food,disgust,centroid_phrases,neutral_centroid,0.15569116938859223,0.0013490756973624312,-0.031049492582678785,0.11408436764031644,0.1543420936912298,0.186740661971271,0.04160680174827579
arctic_embed_l_v2,en,food,excitement,centroid_phrases,neutral_centroid,0.15067381546832617,0.02570511731319129,-0.0019970565568655707,0.16817378071136768,0.12496869815513488,0.15267087202519175,-0.01749996524304151
arctic_embed_l_v2,en,food,fear,centroid_phrases,neutral_centroid,0.1946302614174783,-0.00904986551031466,-0.049076205212622834,0.12278638249263167,0.20368012692779297,0.24370646663010115,0.07184387892484663
arctic_embed_l_v2,en,food,joy,centroid_phrases,neutral_centroid,0.1430698113515973,-0.0039050428196787503,-0.04640786293894048,0.1310142761096358,0.14697485417127604,0.18947767429053777,0.012055535241961485
arctic_embed_l_v2,en,food,love,centroid_phrases,neutral_centroid,0.19150506146252153,-0.01354998601600527,-0.04015679107978939,0.15254159625619648,0.2050550474785268,0.23166185254231092,0.03896346520632504
arctic_embed_l_v2,en,food,negative,centroid_phrases,neutral_centroid,0.157023798674345,-0.012463439442217328,-0.028033918514847746,0.17472886629402634,0.16948723811656233,0.18505771718919273,-0.017705067619681353
arctic_embed_l_v2,en,food,positive,centroid_phrases,neutral_centroid,0.1448304958641529,-0.01156527325510975,-0.03345544412732121,0.1456110633909702,0.15639576911926265,0.1782859399914741,-0.0007805675268173218
arctic_embed_l_v2,en,food,sadness,centroid_phrases,neutral_centroid,0.17329157032072542,-0.01268014525994654,-0.04763786001130934,0.13508024848997593,0.18597171558067196,0.22092943033203477,0.03821132183074949
arctic_embed_l_v2,en,object,amusement,centroid_phrases,neutral_centroid,0.3448074612766504,0.059956724662333684,0.062106987368315415,0.3126879516988993,0.2848507366143167,0.28270047390833497,0.032119509577751115
arctic_embed_l_v2,en,object,anger,centroid_phrases,neutral_centroid,0.35171142760664226,0.06599093396216628,0.04701568824239075,0.33494856003671886,0.285720493644476,0.3046957393642515,0.0167628675699234
arctic_embed_l_v2,en,object,disgust,centroid_phrases,neutral_centroid,0.2885680016130209,0.0481803350150585,0.05754053704440591,0.23649576716125006,0.24038766659796237,0.23102746456861495,0.05207223445177081
arctic_embed_l_v2,en,object,excitement,centroid_phrases,neutral_centroid,0.36838704757392404,0.0867703320458531,0.08431213442236181,0.3412211593240499,0.28161671552807094,0.28407491315156225,0.02716588824987415
arctic_embed_l_v2,en,object,fear,centroid_phrases,neutral_centroid,0.4408313576132059,0.07246471568942066,0.03133661132305858,0.2294710118323564,0.36836664192378527,0.4094947462901473,0.2113603457808495
arctic_embed_l_v2,en,object,joy,centroid_phrases,neutral_centroid,0.3541308633983135,0.06142522869631645,0.04133004080504176,0.2400580264627933,0.29270563470199706,0.31280082259327174,0.1140728369355202
arctic_embed_l_v2,en,object,love,centroid_phrases,neutral_centroid,0.3987204480916261,0.04389938041567798,0.027393085137009582,0.33609700240194795,0.3548210676759481,0.37132736295461655,0.06262344568967815
