model,language,category,emotion,condition,mean_cosine_similarity_top_10,mean_projection_top_10,category_retention_at_10,unique_candidates
bielik_1_5b_v3,en,food,anger,emotion,0.8997087210416794,0.013651825312990681,1.0,16
bielik_1_5b_v3,en,food,anger,identity,0.9389204561710358,-0.003548999805934712,1.0,10
bielik_1_5b_v3,en,food,anger,random,0.6498300909996033,-0.0030081967590376694,1.0,10
bielik_1_5b_v3,en,food,anger,shuffled_emotion,0.9056505039334297,0.012363845657091572,1.0,15
bielik_1_5b_v3,en,food,disgust,emotion,0.890982998907566,0.019861719629261622,1.0,16
bielik_1_5b_v3,en,food,disgust,identity,0.9389204561710358,0.001858191215433193,1.0,10
bielik_1_5b_v3,en,food,disgust,random,0.6676987290382386,0.006648139579920095,1.0,10
bielik_1_5b_v3,en,food,disgust,shuffled_emotion,0.8960747122764587,0.020349870645441095,1.0,15
bielik_1_5b_v3,en,food,joy,emotion,0.8960747122764587,0.016765826160553825,1.0,15
bielik_1_5b_v3,en,food,joy,identity,0.9389204561710358,-0.007931679720059027,1.0,10
bielik_1_5b_v3,en,food,joy,random,0.6514226496219635,0.004511966113932428,1.0,10
bielik_1_5b_v3,en,food,joy,shuffled_emotion,0.8997087210416794,0.012379144376609464,1.0,16
bielik_1_5b_v3,en,food,sadness,emotion,0.9056505039334297,0.02096765368478369,1.0,15
bielik_1_5b_v3,en,food,sadness,identity,0.9389204561710358,0.00367965676123276,1.0,10
bielik_1_5b_v3,en,food,sadness,random,0.6721645653247833,0.0062878105789422895,1.0,10
bielik_1_5b_v3,en,food,sadness,shuffled_emotion,0.890982998907566,0.01710419929586348,1.0,16
bielik_1_5b_v3,en,object,anger,emotion,0.8926194980740547,0.0365696930326521,1.0,18
bielik_1_5b_v3,en,object,anger,identity,0.9272862732410431,0.013399579573888303,1.0,10
bielik_1_5b_v3,en,object,anger,random,0.6540448725223541,0.016380731598474065,1.0,10
bielik_1_5b_v3,en,object,anger,shuffled_emotion,0.8981663659214973,0.03392437474103641,1.0,17
bielik_1_5b_v3,en,object,disgust,emotion,0.8806237488985061,0.030140530708013064,1.0,16
bielik_1_5b_v3,en,object,disgust,identity,0.9272862732410431,0.00433431764249689,1.0,10
bielik_1_5b_v3,en,object,disgust,random,0.6533444285392761,0.009965014341287307,1.0,10
bielik_1_5b_v3,en,object,disgust,shuffled_emotion,0.890744286775589,0.03003546160762195,1.0,19
bielik_1_5b_v3,en,object,joy,emotion,0.890744286775589,0.04652734786504875,1.0,19
bielik_1_5b_v3,en,object,joy,identity,0.9272862732410431,0.01105541348224505,1.0,10
bielik_1_5b_v3,en,object,joy,random,0.6534765422344208,0.01434852962847798,1.0,10
bielik_1_5b_v3,en,object,joy,shuffled_emotion,0.8926194980740547,0.039048500568605926,1.0,18
bielik_1_5b_v3,en,object,sadness,emotion,0.8981663659214973,0.043812195165082765,1.0,17
