model,pooling_strategy,condition,mean_cosine_similarity_top_10,category_retention_at_10,unique_candidates,mean_projection_top_10
bielik_1_5b_v3,mean,emotion,0.8209219724684954,1.0,288,0.042494592805887785
bielik_1_5b_v3,mean,identity,0.886094799041748,1.0,148,0.010887717243822401
bielik_1_5b_v3,mean,random,0.6280214475591978,1.0,216,0.01174486529225153
bielik_1_5b_v3,mean,shuffled_emotion,0.8209219724684954,1.0,288,0.037089530312053566
gemini,,emotion,0.5169672309110562,1.0,334,0.06534416707247143
gemini,,identity,0.6646091163158416,1.0,150,0.0221706568066535
gemini,,random,0.47002967392404876,1.0,212,0.023045460257659803
gemini,,shuffled_emotion,0.5169672309110562,1.0,334,0.03803566658001119
mmlw_roberta_large,,emotion,0.9150508651137352,1.0,226,0.022510493376321373
mmlw_roberta_large,,identity,0.958351811170578,1.0,148,0.00857309891774396
mmlw_roberta_large,,random,0.6789069361488025,1.0,200,0.009335332957901595
mmlw_roberta_large,,shuffled_emotion,0.9150508651137352,1.0,226,0.015044137696143768
qwen3_embedding_8b,,emotion,0.522946270344158,1.0,290,0.07664096790717544
qwen3_embedding_8b,,identity,0.6990417154630025,1.0,148,0.03405998517868282
qwen3_embedding_8b,,random,0.4943317692975203,1.0,179,0.03445055939453594
qwen3_embedding_8b,,shuffled_emotion,0.522946270344158,1.0,290,0.05457132980678577
