model,language,category,emotion,emotion_strategy,neutral_strategy,projection_emotion,projection_identity,projection_random,projection_shuffled_emotion,delta_emotion_minus_identity,delta_emotion_minus_random,delta_emotion_minus_shuffled
bielik_1_5b_v3,en,food,anger,centroid_phrases,neutral_centroid,0.03152397060766812,0.00964207462966441,0.01560277072712776,0.0333046561107039,0.02188189597800371,0.015921199880540363,-0.0017806855030357768
bielik_1_5b_v3,en,food,anger,centroid_words,neutral_centroid,-0.00783391045406458,-0.0164916785433888,-0.02244868464767929,-0.00997094558551905,0.008657768089324218,0.014614774193614708,0.0021370351314544695
bielik_1_5b_v3,en,food,anger,feeling_phrase,neutral_centroid,0.03410443607717747,0.00992119419388472,0.0168551322072744,0.03410443607717747,0.024183241883292746,0.017249303869903067,0.0
bielik_1_5b_v3,en,food,anger,single_word,neutral_centroid,-0.00318719497881829,-0.01726758950389918,-0.022042005322873547,-0.00798276397399603,0.01408039452508089,0.018854810344055256,0.004795568995177741
bielik_1_5b_v3,en,food,disgust,centroid_phrases,neutral_centroid,0.03498175460845228,0.009556601522490379,0.02108450634405014,0.035498210787773085,0.0254251530859619,0.01389724826440214,-0.0005164561793208067
bielik_1_5b_v3,en,food,disgust,centroid_words,neutral_centroid,0.01245266394689677,0.00162468627095224,0.0009563211584463702,0.013151265680789942,0.01082797767594453,0.0114963427884504,-0.000698601733893172
bielik_1_5b_v3,en,food,disgust,feeling_phrase,neutral_centroid,0.033015534095466106,0.007496602833271031,0.01867612004280088,0.033015534095466106,0.025518931262195076,0.014339414052665228,0.0
bielik_1_5b_v3,en,food,disgust,single_word,neutral_centroid,-0.0010030741337686798,-0.011245125764980879,-0.014124389225617009,-0.00026552798226475976,0.010242051631212199,0.013121315091848329,-0.00073754615150392
bielik_1_5b_v3,en,food,joy,centroid_phrases,neutral_centroid,0.04655105136334891,0.016588531620800477,0.03396061295643445,0.042479032836854405,0.029962519742548432,0.012590438406914463,0.004072018526494504
bielik_1_5b_v3,en,food,joy,centroid_words,neutral_centroid,-0.00334208225831389,-0.01848578667268155,-0.00983953154645858,-0.011588139552623021,0.015143704414367659,0.00649744928814469,0.00824605729430913
bielik_1_5b_v3,en,food,joy,feeling_phrase,neutral_centroid,0.04575781319290395,0.01569721857085824,0.031635085772722935,0.04575781319290395,0.03006059462204571,0.014122727420181017,0.0
bielik_1_5b_v3,en,food,joy,single_word,neutral_centroid,-0.02190347765572366,-0.04552668239921327,-0.03770830272696909,-0.02713212897069748,0.023623204743489612,0.015804825071245428,0.005228651314973819
bielik_1_5b_v3,en,food,sadness,centroid_phrases,neutral_centroid,0.04027973785996434,0.014124665316194298,0.02052851822227238,0.03674152698367831,0.02615507254377004,0.01975121963769196,0.00353821087628603
bielik_1_5b_v3,en,food,sadness,centroid_words,neutral_centroid,0.0043456398881971696,-0.00511449323967098,-0.007023522071540329,-0.00491714775562285,0.00946013312786815,0.011369161959737499,0.00926278764382002
bielik_1_5b_v3,en,food,sadness,feeling_phrase,neutral_centroid,0.02507401397451752,0.0035549413412809296,0.00866448283195493,0.02507401397451752,0.021519072633236592,0.01640953114256259,0.0
bielik_1_5b_v3,en,food,sadness,single_word,neutral_centroid,0.014171223016455731,0.00215351362712679,0.0029817633330821796,0.011518403980880939,0.012017709389328942,0.011189459683373551,0.002652819035574792
bielik_1_5b_v3,en,object,anger,centroid_phrases,neutral_centroid,0.056318178772926275,0.019325610576197482,0.03055225978605447,0.06055112741887565,0.03699256819672879,0.025765918986871805,-0.004232948645949378
bielik_1_5b_v3,en,object,anger,centroid_words,neutral_centroid,0.020426538866013248,0.014635728532448381,0.00898653287440535,0.020426538866013248,0.005790810333564867,0.011440005991607898,0.0
bielik_1_5b_v3,en,object,anger,feeling_phrase,neutral_centroid,0.05957867763936514,0.018376403441652627,0.02916134959086773,0.05554819665849203,0.04120227419771251,0.03041732804849741,0.004030480980873108
bielik_1_5b_v3,en,object,anger,single_word,neutral_centroid,0.0099553768523037,0.0012605757452547296,-0.0031772158574313,-0.0008283639792352898,0.00869480110704897,0.013132592709735,0.01078374083153899
bielik_1_5b_v3,en,object,disgust,centroid_phrases,neutral_centroid,0.05442755259573454,0.01164715210907161,0.025871054502204026,0.05442755259573454,0.04278040048666293,0.028556498093530516,0.0
bielik_1_5b_v3,en,object,disgust,centroid_words,neutral_centroid,0.0013258578488603101,-0.01097056826110929,-0.01362633421085773,-0.00246418847236782,0.0122964261099696,0.014952192059718039,0.00379004632122813
bielik_1_5b_v3,en,object,disgust,feeling_phrase,neutral_centroid,0.0570336807519197,0.01722027407959102,0.03057487588375804,0.06023314259946342,0.03981340667232869,0.026458804868161663,-0.0031994618475437164
bielik_1_5b_v3,en,object,disgust,single_word,neutral_centroid,0.0077750316355377005,-0.0005595873575657796,-0.0029595388099551098,0.00794533970765765,0.00833461899310348,0.01073457044549281,-0.00017030807211994986
bielik_1_5b_v3,en,object,joy,centroid_phrases,neutral_centroid,0.06747042611241336,0.01592728472314775,0.03132194513455032,0.060281440429389446,0.051543141389265607,0.03614848097786304,0.00718898568302391
bielik_1_5b_v3,en,object,joy,centroid_words,neutral_centroid,0.015779217751696682,0.0026085582096129502,-0.003829680895432849,0.008576650219038121,0.013170659542083732,0.01960889864712953,0.007202567532658561
bielik_1_5b_v3,en,object,joy,feeling_phrase,neutral_centroid,0.07491651400923724,0.015384742803871632,0.031890175770968185,0.06977436728775496,0.05953177120536561,0.043026338238269055,0.005142146721482277
bielik_1_5b_v3,en,object,joy,single_word,neutral_centroid,0.027943233586847728,0.01030106819234787,-0.0019883214961737396,0.01756154433824118,0.017642165394499858,0.029931555083021467,0.010381689248606548
bielik_1_5b_v3,en,object,sadness,centroid_phrases,neutral_centroid,0.06278549619019028,0.01560625806450842,0.01857972731813787,0.06278549619019028,0.04717923812568185,0.04420576887205241,0.0
bielik_1_5b_v3,en,object,sadness,centroid_words,neutral_centroid,0.02879209965467447,0.022121276520192572,0.02091445028781886,0.027022673189639978,0.006670823134481897,0.007877649366855609,0.001769426465034491
bielik_1_5b_v3,en,object,sadness,feeling_phrase,neutral_centroid,0.04839921742677685,0.01261470345780252,0.01619204827584324,0.052039279043674426,0.035784513968974335,0.03220716915093361,-0.0036400616168975747
bielik_1_5b_v3,en,object,sadness,single_word,neutral_centroid,0.03527196738868947,0.024583197198808148,0.029009907692670773,0.02381256213411684,0.010688770189881323,0.006262059696018698,0.01145940525457263
bielik_1_5b_v3,en,person,anger,centroid_phrases,neutral_centroid,0.0758023355156183,0.01576181128621102,0.02441682368516921,0.07271274887025353,0.060040524229407276,0.051385511830449086,0.003089586645364767
