model,language,category,emotion,neutral_strategy,strategy_a,strategy_b,jaccard_top_10
bielik_1_5b_v3,en,food,anger,neutral_centroid,centroid_phrases,single_word,0.3333333333333333
bielik_1_5b_v3,en,food,disgust,neutral_centroid,centroid_phrases,single_word,0.42857142857142855
bielik_1_5b_v3,en,food,joy,neutral_centroid,centroid_phrases,single_word,0.3333333333333333
bielik_1_5b_v3,en,food,sadness,neutral_centroid,centroid_phrases,single_word,0.42857142857142855
bielik_1_5b_v3,en,object,anger,neutral_centroid,centroid_phrases,single_word,0.17647058823529413
bielik_1_5b_v3,en,object,disgust,neutral_centroid,centroid_phrases,single_word,0.25
bielik_1_5b_v3,en,object,joy,neutral_centroid,centroid_phrases,single_word,0.1111111111111111
bielik_1_5b_v3,en,object,sadness,neutral_centroid,centroid_phrases,single_word,0.42857142857142855
bielik_1_5b_v3,en,person,anger,neutral_centroid,centroid_phrases,single_word,0.17647058823529413
bielik_1_5b_v3,en,person,disgust,neutral_centroid,centroid_phrases,single_word,0.42857142857142855
bielik_1_5b_v3,en,person,joy,neutral_centroid,centroid_phrases,single_word,0.3333333333333333
bielik_1_5b_v3,en,person,sadness,neutral_centroid,centroid_phrases,single_word,0.3333333333333333
bielik_1_5b_v3,en,place,anger,neutral_centroid,centroid_phrases,single_word,0.42857142857142855
bielik_1_5b_v3,en,place,disgust,neutral_centroid,centroid_phrases,single_word,0.42857142857142855
bielik_1_5b_v3,en,place,joy,neutral_centroid,centroid_phrases,single_word,0.25
bielik_1_5b_v3,en,place,sadness,neutral_centroid,centroid_phrases,single_word,0.42857142857142855
bielik_1_5b_v3,en,situation,anger,neutral_centroid,centroid_phrases,single_word,0.17647058823529413
bielik_1_5b_v3,en,situation,disgust,neutral_centroid,centroid_phrases,single_word,0.17647058823529413
bielik_1_5b_v3,en,situation,joy,neutral_centroid,centroid_phrases,single_word,0.1111111111111111
bielik_1_5b_v3,en,situation,sadness,neutral_centroid,centroid_phrases,single_word,0.25
bielik_1_5b_v3,pl,food,anger,neutral_centroid,centroid_phrases,single_word,0.42857142857142855
bielik_1_5b_v3,pl,food,disgust,neutral_centroid,centroid_phrases,single_word,0.3333333333333333
bielik_1_5b_v3,pl,food,joy,neutral_centroid,centroid_phrases,single_word,0.5384615384615384
bielik_1_5b_v3,pl,food,sadness,neutral_centroid,centroid_phrases,single_word,0.5384615384615384
bielik_1_5b_v3,pl,object,anger,neutral_centroid,centroid_phrases,single_word,0.25
bielik_1_5b_v3,pl,object,disgust,neutral_centroid,centroid_phrases,single_word,0.25
bielik_1_5b_v3,pl,object,joy,neutral_centroid,centroid_phrases,single_word,0.25
bielik_1_5b_v3,pl,object,sadness,neutral_centroid,centroid_phrases,single_word,0.17647058823529413
bielik_1_5b_v3,pl,person,anger,neutral_centroid,centroid_phrases,single_word,0.25
bielik_1_5b_v3,pl,person,disgust,neutral_centroid,centroid_phrases,single_word,0.25
bielik_1_5b_v3,pl,person,joy,neutral_centroid,centroid_phrases,single_word,0.3333333333333333
bielik_1_5b_v3,pl,person,sadness,neutral_centroid,centroid_phrases,single_word,0.3333333333333333
bielik_1_5b_v3,pl,place,anger,neutral_centroid,centroid_phrases,single_word,0.42857142857142855
bielik_1_5b_v3,pl,place,disgust,neutral_centroid,centroid_phrases,single_word,0.25
bielik_1_5b_v3,pl,place,joy,neutral_centroid,centroid_phrases,single_word,0.3333333333333333
