model,language,category,emotion,condition,mean_cosine_similarity_top_10,mean_projection_top_10,category_retention_at_10,unique_candidates
bielik_1_5b_v3,en,food,amusement,emotion,0.9049972116947174,0.03618205857928837,1.0,12
bielik_1_5b_v3,en,food,amusement,identity,0.9389204561710358,0.015919337561354018,1.0,10
bielik_1_5b_v3,en,food,amusement,random,0.6504446923732757,0.016774139041081045,1.0,10
bielik_1_5b_v3,en,food,amusement,shuffled_emotion,0.8904037564992905,0.03454650405328716,1.0,13
bielik_1_5b_v3,en,food,anger,emotion,0.8941987991333008,0.014168387814424916,1.0,15
bielik_1_5b_v3,en,food,anger,identity,0.9389204561710358,-0.0038127574371173848,1.0,10
bielik_1_5b_v3,en,food,anger,random,0.6498300909996033,-0.003219617297872894,1.0,10
bielik_1_5b_v3,en,food,anger,shuffled_emotion,0.8929965168237686,0.01260451732669024,1.0,14
bielik_1_5b_v3,en,food,disgust,emotion,0.8833150535821914,0.016989340237341798,1.0,14
bielik_1_5b_v3,en,food,disgust,identity,0.9389204561710358,-0.0008442621212452504,1.0,10
bielik_1_5b_v3,en,food,disgust,random,0.6676987290382386,0.0034800585592165644,1.0,10
bielik_1_5b_v3,en,food,disgust,shuffled_emotion,0.8873666524887085,0.017616341402754164,1.0,15
bielik_1_5b_v3,en,food,excitement,emotion,0.8904037564992905,0.02185330213978883,1.0,13
bielik_1_5b_v3,en,food,excitement,identity,0.9389204561710358,0.0013515423983335498,1.0,10
bielik_1_5b_v3,en,food,excitement,random,0.6657525062561035,0.006753610051237036,1.0,10
bielik_1_5b_v3,en,food,excitement,shuffled_emotion,0.8999683648347855,0.01913186970632521,1.0,15
bielik_1_5b_v3,en,food,fear,emotion,0.8929965168237686,0.009563615289516738,1.0,14
bielik_1_5b_v3,en,food,fear,identity,0.9389204561710358,-0.013355157547630364,1.0,10
bielik_1_5b_v3,en,food,fear,random,0.6444636166095734,-0.013355157547630364,1.0,10
bielik_1_5b_v3,en,food,fear,shuffled_emotion,0.9049972116947174,0.005662500695325421,1.0,12
bielik_1_5b_v3,en,food,joy,emotion,0.8873666524887085,0.012323786853812625,1.0,15
bielik_1_5b_v3,en,food,joy,identity,0.9389204561710358,-0.014469075389206396,1.0,10
bielik_1_5b_v3,en,food,joy,random,0.6514226496219635,-0.0018738448852673201,1.0,10
bielik_1_5b_v3,en,food,joy,shuffled_emotion,0.8941987991333008,0.007673451933078465,1.0,15
bielik_1_5b_v3,en,food,love,emotion,0.8999683648347855,0.010722383199026814,1.0,15
bielik_1_5b_v3,en,food,love,identity,0.9389204561710358,-0.012166981404880048,1.0,10
bielik_1_5b_v3,en,food,love,random,0.6661166310310364,-0.010654392512515175,1.0,10
bielik_1_5b_v3,en,food,love,shuffled_emotion,0.8928635895252228,0.0045227828843053455,1.0,14
bielik_1_5b_v3,en,food,negative,emotion,0.8999238580465316,0.031891045626252855,1.0,16
bielik_1_5b_v3,en,food,negative,identity,0.9389204561710358,0.016013295762240875,1.0,10
bielik_1_5b_v3,en,food,negative,random,0.6643532037734985,0.019274115213192965,1.0,10
bielik_1_5b_v3,en,food,negative,shuffled_emotion,0.9041710466146469,0.027735438244417272,1.0,14
bielik_1_5b_v3,en,food,positive,emotion,0.8928635895252228,0.01513971167150884,1.0,14
bielik_1_5b_v3,en,food,positive,identity,0.9389204561710358,0.0007920911768451455,1.0,10
bielik_1_5b_v3,en,food,positive,random,0.6528585910797119,0.00047962614335120035,1.0,10
bielik_1_5b_v3,en,food,positive,shuffled_emotion,0.8999238580465316,0.01336185766849666,1.0,16
bielik_1_5b_v3,en,food,sadness,emotion,0.9041710466146469,0.027225480438210038,1.0,14
bielik_1_5b_v3,en,food,sadness,identity,0.9389204561710358,0.008139089471660544,1.0,10
bielik_1_5b_v3,en,food,sadness,random,0.6721645653247833,0.01175514077767728,1.0,10
bielik_1_5b_v3,en,food,sadness,shuffled_emotion,0.8833150535821914,0.024129965482279626,1.0,14
bielik_1_5b_v3,en,object,amusement,emotion,0.8956528455018997,0.05465029417537148,1.0,15
bielik_1_5b_v3,en,object,amusement,identity,0.9272862732410431,0.020573374792002115,1.0,10
bielik_1_5b_v3,en,object,amusement,random,0.6518177568912507,0.022104560839943565,1.0,10
bielik_1_5b_v3,en,object,amusement,shuffled_emotion,0.8806555688381195,0.050579675240442115,1.0,15
bielik_1_5b_v3,en,object,anger,emotion,0.886739993095398,0.033136777812614995,1.0,17
bielik_1_5b_v3,en,object,anger,identity,0.9272862732410431,0.010293093160726106,1.0,10
bielik_1_5b_v3,en,object,anger,random,0.6540448725223541,0.013687521964311587,1.0,10
bielik_1_5b_v3,en,object,anger,shuffled_emotion,0.8877929985523224,0.03514567313250149,1.0,19
bielik_1_5b_v3,en,object,disgust,emotion,0.8737397193908691,0.03110129211563612,1.0,16
bielik_1_5b_v3,en,object,disgust,identity,0.9272862732410431,0.0055437823757529155,1.0,10
bielik_1_5b_v3,en,object,disgust,random,0.6533444285392761,0.011455757846124459,1.0,10
bielik_1_5b_v3,en,object,disgust,shuffled_emotion,0.8844579845666886,0.031186446151696096,1.0,18
bielik_1_5b_v3,en,object,excitement,emotion,0.8806555688381195,0.03502754147630181,1.0,15
bielik_1_5b_v3,en,object,excitement,identity,0.9272862732410431,0.008108747063670301,1.0,10
bielik_1_5b_v3,en,object,excitement,random,0.6561000108718872,0.021629911311902086,1.0,10
