model,pooling_strategy,condition,mean_cosine_similarity_top_10,category_retention_at_10,unique_candidates,mean_projection_top_10
bielik_1_5b_v3,mean,emotion,0.8122353558242321,1.0,315,0.04294746509590183
bielik_1_5b_v3,mean,identity,0.886094799041748,1.0,148,0.007361145665209428
bielik_1_5b_v3,mean,random,0.6273508938550949,1.0,257,0.008572507513337765
bielik_1_5b_v3,mean,shuffled_emotion,0.8122353558242321,1.0,315,0.036400356961569416
gemini,,emotion,0.5122391440967718,1.0,369,0.058988503770592275
gemini,,identity,0.6646091163158416,1.0,150,0.01973345961763211
gemini,,random,0.4702042976220449,1.0,242,0.020939684647290638
gemini,,shuffled_emotion,0.5122391440967718,1.0,369,0.03594950295022376
mmlw_roberta_large,,emotion,0.9116264384388924,1.0,253,0.017911386345319125
mmlw_roberta_large,,identity,0.958351811170578,1.0,148,0.005873708293191153
mmlw_roberta_large,,random,0.6781015830039978,1.0,228,0.005793110843844863
mmlw_roberta_large,,shuffled_emotion,0.9116264384388924,1.0,253,0.01216175497913111
qwen3_embedding_8b,,emotion,0.5238098429739475,1.0,327,0.06721347586985209
qwen3_embedding_8b,,identity,0.6990417154630025,1.0,148,0.03067029052398476
qwen3_embedding_8b,,random,0.49414970101912814,1.0,202,0.03062850805926911
qwen3_embedding_8b,,shuffled_emotion,0.5238098429739475,1.0,327,0.049566545505212445
