model,language,category,emotion,condition,mean_cosine_similarity_top_10,mean_projection_top_10,category_retention_at_10,unique_candidates
arctic_embed_l_v2,en,food,amusement,emotion,0.33216023445129395,0.0133251318708062,1.0,10
arctic_embed_l_v2,en,food,amusement,identity,0.49497408270835874,-0.048470195569097964,1.0,10
arctic_embed_l_v2,en,food,amusement,random,0.3525904983282089,-0.048470195569097964,1.0,10
arctic_embed_l_v2,en,food,amusement,shuffled_emotion,0.339580562710762,-0.008104257099330419,1.0,10
arctic_embed_l_v2,en,food,anger,emotion,0.3060661703348159,0.016232042200863363,1.0,10
arctic_embed_l_v2,en,food,anger,identity,0.49497408270835874,-0.029114422388374788,1.0,10
arctic_embed_l_v2,en,food,anger,random,0.34186594188213343,-0.029114422388374788,1.0,10
arctic_embed_l_v2,en,food,anger,shuffled_emotion,0.2772684663534164,-0.0023839695379137896,1.0,10
arctic_embed_l_v2,en,food,disgust,emotion,0.31204372346401216,0.03448075829073785,1.0,10
arctic_embed_l_v2,en,food,disgust,identity,0.49497408270835874,-0.00960504012182355,1.0,10
arctic_embed_l_v2,en,food,disgust,random,0.36031407713890073,-0.00960504012182355,1.0,10
arctic_embed_l_v2,en,food,disgust,shuffled_emotion,0.334753879904747,0.011745180469006309,1.0,10
arctic_embed_l_v2,en,food,excitement,emotion,0.339580562710762,0.0016422852873802323,1.0,10
arctic_embed_l_v2,en,food,excitement,identity,0.49497408270835874,-0.03957337671890852,1.0,10
arctic_embed_l_v2,en,food,excitement,random,0.3652922213077545,-0.03830233812332151,1.0,10
arctic_embed_l_v2,en,food,excitement,shuffled_emotion,0.29491289556026457,-0.0107471341267228,1.0,10
arctic_embed_l_v2,en,food,fear,emotion,0.2772684663534164,-0.03140553571283815,1.0,10
arctic_embed_l_v2,en,food,fear,identity,0.49497408270835874,-0.060596805810928314,1.0,10
arctic_embed_l_v2,en,food,fear,random,0.36407563984394076,-0.060596805810928314,1.0,10
arctic_embed_l_v2,en,food,fear,shuffled_emotion,0.33216023445129395,-0.018504445441067212,1.0,10
arctic_embed_l_v2,en,food,joy,emotion,0.334753879904747,-0.01137127410620453,1.0,10
arctic_embed_l_v2,en,food,joy,identity,0.49497408270835874,-0.058917184546589854,1.0,10
arctic_embed_l_v2,en,food,joy,random,0.3623518258333206,-0.055263427458703517,1.0,10
arctic_embed_l_v2,en,food,joy,shuffled_emotion,0.3060661703348159,-0.03066008780151605,1.0,10
arctic_embed_l_v2,en,food,love,emotion,0.29491289556026457,-0.03412479478865861,1.0,10
arctic_embed_l_v2,en,food,love,identity,0.49497408270835874,-0.0707495769485831,1.0,10
arctic_embed_l_v2,en,food,love,random,0.34823353588581085,-0.06293348055332895,1.0,10
arctic_embed_l_v2,en,food,love,shuffled_emotion,0.31702661216259004,-0.03149684760719536,1.0,10
arctic_embed_l_v2,en,food,negative,emotion,0.30811650604009627,-0.02193699758499858,1.0,10
arctic_embed_l_v2,en,food,negative,identity,0.49497408270835874,-0.04174232166260477,1.0,10
arctic_embed_l_v2,en,food,negative,random,0.35210772156715386,-0.04990830887109037,1.0,10
arctic_embed_l_v2,en,food,negative,shuffled_emotion,0.30226364731788635,-0.02193699758499858,1.0,10
arctic_embed_l_v2,en,food,positive,emotion,0.31702661216259004,-0.03623696099966759,1.0,10
arctic_embed_l_v2,en,food,positive,identity,0.49497408270835874,-0.07541832383722062,1.0,10
arctic_embed_l_v2,en,food,positive,random,0.3417564302682876,-0.07047003936022515,1.0,10
arctic_embed_l_v2,en,food,positive,shuffled_emotion,0.30811650604009627,-0.060897818021476216,1.0,10
arctic_embed_l_v2,en,food,sadness,emotion,0.30226364731788635,-0.01828194232657551,1.0,10
arctic_embed_l_v2,en,food,sadness,identity,0.49497408270835874,-0.03699188651517031,1.0,10
arctic_embed_l_v2,en,food,sadness,random,0.3479677557945251,-0.03699188651517031,1.0,10
arctic_embed_l_v2,en,food,sadness,shuffled_emotion,0.31204372346401216,-0.013962381612509489,1.0,10
arctic_embed_l_v2,en,object,amusement,emotion,0.3221025168895721,0.13413827866315836,1.0,10
arctic_embed_l_v2,en,object,amusement,identity,0.44506293535232544,0.11431248858571048,1.0,10
arctic_embed_l_v2,en,object,amusement,random,0.2844726800918579,0.11321893557906146,1.0,10
arctic_embed_l_v2,en,object,amusement,shuffled_emotion,0.3287681400775909,0.13816381394863125,1.0,10
arctic_embed_l_v2,en,object,anger,emotion,0.24670563042163846,0.15075594112277027,1.0,10
arctic_embed_l_v2,en,object,anger,identity,0.44506293535232544,0.0880981035530567,1.0,10
arctic_embed_l_v2,en,object,anger,random,0.2975439518690109,0.09598546996712683,1.0,10
arctic_embed_l_v2,en,object,anger,shuffled_emotion,0.2497384190559387,0.1377060644328594,1.0,10
arctic_embed_l_v2,en,object,disgust,emotion,0.2558814704418182,0.16895148009061808,1.0,10
arctic_embed_l_v2,en,object,disgust,identity,0.44506293535232544,0.07359991911798713,1.0,10
arctic_embed_l_v2,en,object,disgust,random,0.3179137110710144,0.0713202418759465,1.0,10
arctic_embed_l_v2,en,object,disgust,shuffled_emotion,0.3130260795354843,0.09544582385569808,1.0,10
arctic_embed_l_v2,en,object,excitement,emotion,0.3287681400775909,0.15637413263320918,1.0,10
arctic_embed_l_v2,en,object,excitement,identity,0.44506293535232544,0.1299222623929381,1.0,10
arctic_embed_l_v2,en,object,excitement,random,0.30755179226398466,0.13039498087018725,1.0,10
arctic_embed_l_v2,en,object,excitement,shuffled_emotion,0.2846764594316482,0.16726512014865874,1.0,10
arctic_embed_l_v2,en,object,fear,emotion,0.2497384190559387,0.1696238033473491,1.0,10
arctic_embed_l_v2,en,object,fear,identity,0.44506293535232544,0.10413037575781343,1.0,10
arctic_embed_l_v2,en,object,fear,random,0.33127243220806124,0.12520753592252726,1.0,10
arctic_embed_l_v2,en,object,fear,shuffled_emotion,0.3221025168895721,0.12011759430170055,1.0,10
