model,pooling_strategy,condition,mean_cosine_similarity_top_10,category_retention_at_10,unique_candidates,mean_projection_top_10
bielik_1_5b_v3,mean,emotion,0.819816717406114,1.0,178,0.07102092354097005
bielik_1_5b_v3,mean,identity,0.8914411620299021,1.0,148,0.021264691472406564
bielik_1_5b_v3,mean,random,0.6317984795570374,1.0,216,0.02365341493243265
bielik_1_5b_v3,mean,shuffled_emotion,0.819816717406114,1.0,178,0.06945481837808996
gemini,,emotion,0.5332415756086508,1.0,278,0.06726455388726507
gemini,,identity,0.678923894961675,1.0,150,0.021929103148480237
gemini,,random,0.4801549582183361,1.0,210,0.022630013287222615
gemini,,shuffled_emotion,0.5332415756086508,1.0,278,0.039811986616114126
mmlw_roberta_large,,emotion,0.9140824037790298,1.0,185,0.020742566158418463
mmlw_roberta_large,,identity,0.9602133945624034,1.0,148,0.008384007870652022
mmlw_roberta_large,,random,0.680174446105957,1.0,198,0.008708157834020373
mmlw_roberta_large,,shuffled_emotion,0.9140824037790298,1.0,185,0.01675022801241302
qwen3_embedding_8b,,emotion,0.5163081004718939,1.0,241,0.07100940249511038
qwen3_embedding_8b,,identity,0.7131228748957316,1.0,148,0.02833615966994935
qwen3_embedding_8b,,random,0.5042083962261676,1.0,177,0.02840551636686237
qwen3_embedding_8b,,shuffled_emotion,0.5163081004718939,1.0,241,0.05140535651977793
